id,puzzle,difficulty
1,2....48..6....7.59..81..2....4....3......6.12...54..9.3.17.9....7.43.........8...,3
2,.....8......1.3.7..374..6.1..45....2.6.........2...7563..7...1........8.7.53..2..,1.7
3,....3..6..2.9..8..4......1.8..42..567.4.13.....5.6........8.1......45.3.1.3....2.,1.5
4,.......735.......1.6.53.2..8.....9.....8761......4...2..831..5...3........2..4..6,2.7
5,7.........4.6.8.7....3...2..6......8..4.3.5..5.7.....621...4.9.87......4....2..5.,0
6,...5.19.3.14.9....6...2..5..4...5...3.1....26..6.7..........4..8.92...1........65,0
7,.........5.....82..68.7.94....96......91...8.4..3.7....2...6.37....1..6...4.....1,3.9
8,...5...4..6....9.7..8.........9.573.4..237..5..5......796.1....8....3....1.....9.,1.1
9,.6.45..3.7...2.....58..6..2......85.....4..69697...3.....13.....13...42.5......9.,2.7
10,.3.7..1..2...198..........5...9.........8...3.7..352....1....3...6..4..78...7..24,0
11,.52.31.....7.6.....6...23.45.......7.7..........1..83.1.8.2365..3...87...........,1.8
12,...3..8.2......9..42.......6.9.23......48...1..2......56.81.4.....9...8...4..63..,3.6
13,....3...9947...51..2....87..158693....8...2...3.......15..73....9...4...7.3......,2.2
14,..26.8.1...17....9.48....52975...1..8...7....4..1...9....9.........4..........62.,1.4
15,.........1.9825...8.....3...8.7.....2...5..79..1.6.2...2......1.7.3.....4.8....6.,1
16,..6.42......8...1352.7.......82...3.7....14.9......8.6.576.........2....3....8...,5.8
17,.4.7..9.8.5..89.4...1....3..2.3....5..5..4...8.......9...67.2.......2....94.1.8..,1
18,.83..5...2...9....6.9....5...4..918......7...95..4.......6...41......2...2.81...5,2.8
19,4.653...9..5.8.7...........8.2.4.5...4.7..........928...1....9.264.....3...2.....,1.9
20,...2....6.....17.4...86429.3...9..71..6.....3......98...84......6...75..17.......,0
21,....7....4...1......3..951..4......61..2.6....2.14.87......8.5....79.6.3..6..27..,0
22,....96.4....3.....9.6.4..176..12......4...5...915...6...96..7.......2..843.7...56,2.8
23,..4..7.3.....8......5....61.5.4.....3.8.1..4..2..387.......2..37418........5.....,2.7
24,2......3........54..59.61....85.....37.2....5..6...7...426..........58..8....7..6,3.6
25,........8.3.15..7..5.679...1...9..64..8..6.15.65...8.....3..1....4.2...6.2.......,2.4
26,....3.........5.7.9.48...56..2.5...7.8......2.3.4..8...49...7..7..9.1.......8..1.,3.8
27,...1...2.4...26.8...1..7......7419........3.1..45.....2..8.....9.6.....2.4..6..5.,0
28,.79.8..3...4.5..72.3..1...8...24.......5.7....4..6.9.5......38..9.....5.3.6..42.9,1.3
29,........965..2.4.....8.3.....31.6....8...29........2.6..1.......4...9685..74.5...,0
30,...6...1..7....4..1..2.....4..8.2.6........9....5...8239....74...4..5..37.....9..,0
31,4...5.2...6.7.4....7..........8....12......6...9...58....36.9...2..1...5...5..7.3,1.2
32,...31..7.6..7..94...2.5....5.....8...19...6.4...1....5...6.2...92.........3...1..,1.4
33,..6.3.5....9..8....1.9......7..514..46...9.2......3........5.86..267.1.........3.,1.2
34,....43....1...5.4.......97...3...5..7.9.2....5...8......8.....6..62.9.17....7...2,0
35,...4......9...7...74.29..1.....5...3...7.14.8...3.2..5.1...89...8...9....76....4.,0
36,..86...5.....8.2...39.........14.6..8.1...7....5..3........8..3....57.2..4....1..,0
37,......17..5..7..9..7...4..2....1...54..35....6..........91........9..863...6.3..9,2.4
38,1....4..6...8...7.3.85..9....2....6...53..4......68..3....1.82.8.76..........7...,2.5
39,.....7.134...1..8.62.8...9......1..85..2......8....27...7..3..1.9..6..2.........5,0
40,8.....2...9.1...4....2.4.18.8....1..1.98.3.7.762...........7.2.......6.93....6..7,2.8
41,.6..2..8...3.8..4.29..7.6......958...4......9.72.6...3...14...87....2.........5..,1.5
42,.643..........4..118..6.....7...2.5.2.5..91..4....5.73....5...4...9.3..58........,3.6
43,..5...1.62...57...3..1.9.4........6..54.6..8..9..43....3.5....7......4..86..7..9.,0
44,..........3..2....2...7.1.49..7......24.69......28.9..4.3....167..196..5........2,2.8
45,....6..2...3...6...5.18.7....1.......9..27.8..2...9.......32..7..9.......467...5.,1.1
46,..7.9....54......8..97..26.......94.3.4.1.5.68...6....4......3.2...7.4....8.3...2,0
47,.9...8.26....7.........3.5.....9..8..84..2.6.6.......3.25.8.49............1.4...5,4.2
48,7.....8.1......23.6..2.97....21.....5...9.....1..3..8.45.3.8....87.5...4..6......,2.4
49,..7....8......9......657..9...2819...9..6...864.3...........2.67.2.3............5,0
50,2..496.......5.........7.1..9..4.5...2..18.9.38....4......83..5......9479.1......,2.8
51,...8........3..6916.1...5....6.9...383.1.4..2.......4.9.8...2.7.....2.....74.....,0
52,97.........3...9....6.1....7....31...3..9...441...2..9...3...25..8.2.3....1....4.,1.2
53,....3.6...4.....9.1.9.7.8..3....4..1....2...5.84.1.7..87.6..4..........85..2.....,2.4
54,6...79..1......4.........9.3.8....2.1...6...47..3..5.953............53.....4.7.8.,0
55,9.274..........3...365...9...3...16......642......4........59..2.93.....871.9.63.,4
56,.6..7...........47...165...94.5.....7..281....5.........5.18..4......1.92.9....8.,1.5
