id,puzzle,difficulty
1,.4.69...2.58...3..39........1.576......1...7.6...........8...4......9.56..5.....7,0
2,.8.4.........1...5..2.978......7...963....1.....6.8..7..9...5.14........1.82..7.6,2.9
3,2......3.86......1.351..........5..67..49.2...4..2..8.3....9.6......79....6..1..8,0
4,.7.8..16...234......5..27..1.3..........6.9......35..67.1.2....2...........4...28,1.8
5,5...7..64.7....1....93.4.....81.....6..2.38.5......6....4.....7....2....2.16.....,1.6
6,...3.1...3.825....65...7.....1...9...6....51759.....3...5.3.1.....6...7..3...4.8.,2.2
7,1........7.25....6....295.....3.......8..671..96....5.....5.....1.96..8.....8.2.3,0
8,..574.....3.1.8.6.8....9..5.8......91.....5.3......61.5.....9..3....7......3..451,3.1
9,........7.5......96...8..1.8..4....21.35..........2.7...7...1..5...98.6....3.5.2.,0
10,7..9..5...3...462.8...6......8.5...6.7...684.2.............5.7.4.1.3..82...2..3..,0
11,92..6.....3....4....41...68.6.5....3.5....7..1.8...2..6..........7.8.....9.62..8.,1.4
12,...41...2...8...9...7.....68.1.....523..59..8......3.......4.535....8...67...31..,3.1
13,..57.........6.2...76.5....38.....14.....1.2.72...8...4....6..81........6...4.97.,0
14,.1...6.98.....5..6.2.4.9...451..............9..6...43........5.9....867..853.4...,0
15,6...5.4.3.....67.2......8..1..3....77.5.8....2.4...5..5...723......6.2.5.9.......,1.2
16,..2...8......4...55....9..1....9....6758...9..2....36..8....24723.1........6.....,2
17,.8.3....2..........3..14.8.39.....7.5.....2.97....6..3..5..1..4.49..8.5....6...9.,3.1
18,...3.147....4...9.1.4.9...62..84........392...7..6..5...9.8.6....6....4..15......,0
19,.935.......6.7.2.445..1..6......17.9.4...78...8..6........8.5...3.....7......3...,1
20,.2..9.1..4.3.7.2...1...8.45...43..6.6...2.....4..............8...87....2.61.8....,3.1
21,...5...6.2...3..796..2..3...54.....71......2..8..9...........4....72..9..47.85...,2.6
22,.2..3.5...7.84.3...3...1.4.2.....4.8..9....2..8.........5..7.....79.4........68.5,1.6
23,.7..8.9....6.3....2...7143..5.....2.6..89..........1........798.95.....2...2..6..,1.7
24,..6....1.....2.7....7.93.8..8..421...4.6.73......8..54.14..........7.2....5....4.,1.4
25,58..96..1.......38....87.5.........41....96..6.4.5.........37.9.9.4.13......7..4.,0
26,2..1.......3.5..28.6..4.......2...1....9..8.41.8..7......8......9...14..5.6.....2,1.6
27,...5....89.8....46....6.7...9...2...327.8..9...1....3.4..2.53..23.......1......82,0
28,...2...3..3.86...1..4....628..3..6..1.79.5.2...5........1.......2.....59...4..8..,0
29,..9.......2.789..18....2....3..96.1....1..2.7..65.4.....1...6......6..94..5.....3,0
30,........53.8.....6..6.49.8..2.......1..2..8....43.76...7..5.....1..6.9.......3..4,2.1
31,3.9.16..2..6.....4.2.....5198...2.........12..6..5....7..2.3.4....4.8..9.........,0
32,3...5.......976.3...4....9.6...2..7.5...8......7.....5..1.65..4..9....1.8.....7..,0
33,.9..2...5.....13.6..7.5.89.6....9..85.3.1.....7...45.....6..4...5.......9.1..8...,2.6
34,7....5....26...9.1..1...8....7...4.3..9.6....21......8.....1.4....5.8...6.47....9,0
35,2....38..5.16.4....4..91..............7..9..6...1..3.242..5..1..394.6............,2.6
36,.64.9...5...4..3..5......8.9...7..4.4.32....9..75...2......8..6..87..5..3........,2.6
37,2...95..19..64.2...5..714...814.7.9.5.4......3...............7.........27.9..3..5,0
38,....42.9.94..5.2.......9..1.97.2..8.2..1.83...3.......3.18..4........6.....537...,0
39,.5..8.2.178.2.6...........5...1..........2.462.9.7....473....5.9...47.3.....1....,0
40,.....7.....4...8322.....1.5..5.2.34.7..58................6..9...5...1..8..79....6,2.1
41,8.3..126.....2.......5.3..8..4........9.5......231.97..9..7.32...12...4.7.....5..,3.2
42,...3..964.............56..1.2..1..8...4.....77164..5.3.....3.4..73......28....1.6,1.1
43,.3.28...9..7...4...1...6......4......2..3......1..5.7....5...9....7.4.5...8...2.6,0
44,.5...2..3.......9.6.91...7...5.4.....6..2...13......86.....76..21...8.4....3....5,2.2
45,.1.9...47.4....81.6...8.5...7.2.6.94.....4...2.....6.........5..2...57......9....,2.6
46,62153.8..5.....4........6..8.....1....6....7.3...7...9..8.9.....473...1..3.4.....,0
47,..6...9.4..72.......5.31...1...293..........5.......4.4.17............6325..6.4..,1.7
48,..15.........2..3.2.9..61...........9.26..5.74..9.72.......17.2.48..3...........8,2.4
49,.1..3...8..68.7.1.....2.4.....9.234..6.......9.31.8.2..........74.2.5....957.....,0
50,.1..5...89...............6..85.673.......329.............67...57...1....34.....2.,1.5
51,26.3.....3...851...5.1...2....4.....92...3..17.....9..1.9....4........8.....7...6,1.1
52,...8....9..7..231..5.1.46....2..7.....13...84.......277...6......9.8.......2...3.,1.2
53,......2..2...7.5...49.....35...38.92...1.2......6..7..9.2....7...8..1.2..6....4..,2.2
54,2......6.6..3.4.8...4.6.2..4721.....38....79......3.........476....1...88..5..9..,3.4
55,.5...4.8...4....2.37.5.9..6...79............2.4..639...6.1.....1...7.2...9....57.,1
56,......2.7.63....1.....5...86..72....3..9.475...1...9..5.....8...9.28.3.......9..6,0
57,...1.....63.7......8......5....9.4...6......85.....79...23..6.719...68......4.3..,2.6
58,.1.4..2..84.....515...3..........9.56.5.41...........21.....7.3.846......3.2.....,1.2
59,..825.....3..4..17.......9..5...61..1...95.4.3...........6.....4.68....5.1......3,0
60,....9..54.1..2..8...8...9....7..41.9..317.........2.764....9....9..5.......6....8,0
61,...4....63.....5...7.628.3....214...612.7......5..........5..7...3..2....698.3...,0
62,36.4.......4.9..8.952.6.....2...6.3.......4.96....7......3..9..5...7.1.....2....6,1
63,...2....1.57.9..2.....43....2.7..8434..3..........295.2..5....96.....2..8.1..6...,2.6
64,.......575.3....6..9.71..2..54..8.9..6.3..4.......1........3....3.....76...2..5.9,2.8
65,..7...8..4.2....965..94...18.412...99....3.2..5.......1..4.........1.9...2.5...4.,3.5
66,...........67..89.......4.5.28.5..6.7....49......8..2.1..3....7..3.......8.26...1,1.8
67,..8..5.9.9..8....6...61...4......7.....18.45.7...5......9..48....173.....7......2,5.2
68,..58...1.6..4...2....9..6..8...3....21....7....75.....4.......7.....893...9.5.1..,1.8
69,.....76.23.7.2.5...6..8..3...1....585....2..14........9..8..2.......3.....34.5..7,0
70,.9.8.6..2.8....5..6....4..17......49.6.....8.43..7.......2...5.85..3..1.1..4.....,2.6
71,6..........2..8..5.8.39....5.96.7.2.1...35.7...7..2.........59..4..1.........4...,0
72,..9.......3..2.4...1.96...7........12..3.68.91..2......52...91....8.73...8.....4.,0
73,......7.92.1.9......5...4...4........5...31.8...65....6....4...3......2..9..71.8.,1.2
