id,puzzle,difficulty
1,..47.1...1275..36........4..46...1..83.6.29..........5.9...7.....2..........83.1.,1
2,3.........4..18....69..5.....1.6...9.......179.7....236..7....5.......3...4..1.8.,5
3,..93....2.....5.1..4.....8.....3....6...1...9..7...56..9..2.7.3.2...96.....8.....,2.4
4,.25...1.....817......2.....4..1.68..3.8.......1..2..3......9..5..9...2.6..47...81,2.7
5,3..6.1....8.......21.9...4.82..4...1.4...3.5.......39.15..7......726.........8...,0
6,5378...4.....5.63......1..81.5..3.89.8....753.....9.1.4...1........4..7...89.....,3.1
7,.......8..2.1.7..........572..5...9..1...93.5.4...1.....592..3.....36....84.....2,0
8,3.541............5.7.8.9.4.....3..7.6..9..5.2......61..9...7.6..8.5..7...1......4,1.9
9,.15...2..2..4.67...3..1..8...6..34......4...9.8.2.5....4....673....2........8..5.,1.4
10,....8..1..6...1........5..7.3....7.8.2....5....6..7..19584...2.......849...3.....,1.3
11,.5....8...8..24...7143.....1.......4...738.5.........7.27..93..5........3....19..,0
12,.......16..642......2.3.5...6.1....4.286...7.4.5..3..95..74.9.......5...........2,0
13,2.1...5....7.3...693..8......3.4...758.....9....52.3...4...............87....31..,0
14,.5........9...45....7.1..3.9....3.67.785.9..1.......5.1...6.2....2...41..........,1.9
15,.8.....4...72.....2..4.8..73..9.....5..84.69.....16.8....76.9.8.5..............25,1
16,....8....4..31...2..54..3.613.....2.......4.8..9..3......5.......8...14.9....75..,1.9
17,.4.7.69...8.....67....8...44.5.1.6...3.4........5.72....9............7.15..1...39,0
18,.......2..1...5...9.2.16...4..72.8..3.85.........61..........49.....97..75....23.,1.4
19,.1...6..3.93.....2.5..2.76..8...361.7......8.....6.2....6.371..8.54..............,2
20,4..3...8......9.2.....4.75.1.3.5.9....597.....6.4.....2..76..1.3....2..8.........,1.4
21,....79..66..48....32........53...6.8..9..4..1..........8.6..........2.....59...34,0
22,....1.9..2...83.4......9......5...7........9.81......59...3.8...637.......7..5...,0
23,.3.2....5.9..38....41........2.7.....1.5...79...9..3.....4..1.84..1..7.6..5.2....,3.4
24,.3..1......865..........8.7....9.1..1..54...256.....8...523...627.9....5..9......,0
25,....1.....4.5..1...26.....3......9..5..3....6.192...7......32.8.9....36...1...4..,0
