id,puzzle,difficulty
1,........15..2.....3.7........9.7..4...4...7.62..3.....9.6.87.5.8....5.9......1.2.,0
2,2936.......6.2..7...1...4.......4..3...9.2...9..586.........1..51.7....6.......57,2.6
3,........9....5.1......46.7.7......2..5..3.9..8..7....3..3.712.......2..5..19...8.,1
4,74.....2....1.93...8.4....71..3....4......9..6.2..7...32..6...........8.46..8.21.,0
5,82....6..........8.....9.5.25.8....7.6...4.9.3.8.7.......7....5..6.4....49..3....,2.5
6,.4.......6.3..8....1....4.8.......1..51..2...7..9..6....874.2..3......7...2.851..,1
7,5..3.........28.4..7....18..39...2.....67.5.1...4........51..7........5...2.93...,0
8,.....1.9.5...9..6.2....3..4..9.4...3.3.......75..8..19.....6.2..........16.839.5.,0
9,.4........98.2.4..2..3.6..........987....1.....65...1..19.3.......7.8.32.......5.,1.9
10,2......7.5.....8.61.4.........8..92..5.......9.216...53.8.2...7....5..1......4..3,0
11,2...6.5.1....4..7...8.594....4.....316.2........8....7..6......73...5...4....36..,0
12,.23...6......3..27....8.5..2..8...7.5..4........69..8.9.15..7...3.1.........74.9.,1
13,..568.3.......5.....4..1..8.7.4.2...61.....3.........19....671..4....52..5.....9.,0
14,.4.31.5..9.7....1....2...9.76......8...74...3..3.......9.6...215.1..8......4...8.,2.3
15,....1........483...6....25...2.3.8...1..5..4...4....1...3...7.4.27........61.2...,1.5
16,.......5.84.1..3....58..9..25.....1.6.....2.......65....137......7..96.39..5....1,0
17,.6...9..81.....6...32..45..681......2...8..9...9.2..7......69..5..8....2........4,4.8
18,9.....1.673..26........75.....7.......94...3...82..7.9........1...6.54....3.....5,1.4
19,........3.1.48......6.51..8......27.........4.4..16...7.93........82....8...7.345,2.2
20,..2.3.4.....1.......54.9...3..7..5.28..3.....6...2...8..6..794........6..1.2...7.,0
21,.....6....7.....23.3....5....43....5.937.8..47.1.......52.....1....75..8.6.8.3...,2
22,..2.8.7....1....5..7..25..3...5......1.4...2.3.4.7..1.8.3.......2.75...8......6.9,2.5
23,....1..3......6.2...238.4.5.7.56..........3...8...4.....9..56.4.4.1.....2.....8.7,1.7
24,.2.....89.95..4...3...1...6...84.1..65..........7...6...3....7..8.52..3......7.4.,0
25,.....23..1.7........3.68.9476.........4..928...25.....69......5...8..7........94.,2
26,.5..........3.2...12....4.......8.3....1.35.4.674...8.6.9..1.7.8..............1.2,0
27,.2...59...487....2.7.6....4......18.......4.7..1.59.....53....6.......1.4.6...2..,0
28,..8.1..7...2...1.....92...3..6.78..5...49...74....6.3......5....1.......8..6.14..,1.7
29,.....26...7.63...52..7......9....4.2.........4....8.51...37.9...539...1...4.....7,1.3
30,4...2.9....9..4...1.3.9...634....1.7.275..69...............74.......6...615..2...,0
31,1....65..3.2.....9...5..3..7...2...69.....71.....8.4......19.8...7..8.5..8..4....,0
32,...7..2...3.24......7...1.4.....6.53......48.1..8.57...9.......21.5..3.....3.9..7,0
33,..63.7.4..25....8.4...2......3....1.6...7.8..7..64.....3....1..1....527...7.1..9.,3.8
34,3...9.7..2...1...6...6.3.8...61..9.8.....4.....2.5........4912...8.....7.....1.9.,0
35,.16......2..1.3.....3...87..6..54.9...57.9.......2.....3...84......4.1.34....5...,3.7
36,3.6..7.4....3..6.......25.3.9.17....1.35.....82.6.4...5............8.27..87......,2.6
37,1...2..9......96.7....1...5.5..8........62..4.7.4..5.63.......87.9....3..2...3...,1.6
