1,.9......62..4......8.3..7.5.......1....8..9...4.9...27763..1.....1..3..4...28....,0
2,..1.8..2.5.......8.6..7....6...........1...5385.3..7....7.........519...93...46..,1.8
3,8.......94..17.........921..3..........4.1..2.872...6.5.3....4.....96...........5,1.5
4,...28.15.2..5...6..31...8...8.6.......9.....8..3.....9....2.........7..54....629.,3
5,..1.....8.738.........513..25...8......427..5.1.5..6..8.9...5.3.....9.2..2..6....,2.7
6,.94....7.3.....1.....963..898......7.738....6..2....5..31.85.4....1........4...8.,1.8
7,92..4.......2...3..8.7.16......92..3.64.....5.9...8..77..1................8....9.,1.5
8,.6.....5...8..593..5...3.82.947...2......287.....9.......6......2.......81..4...6,0
9,82..1...6.3..421...7.......2....39.8.........1.....23..1.3....5....95.6.5.8...4..,2.5
10,.......41....147.....85..3..9.3.1.5.37..........6.5.....4....9..1....6.826...83..,2.4
11,.....1....1.8.....9..563.....5..64........98..8.4.2.1.1.....2.44.2.......3..2...6,0
12,..9.....23....284......763...698.........4.5.21........5..6.4..6..8432.......9...,1.9
13,..2.7.9..3..5...8.4....95...6...2.....9...67.....1.4...26..7.1..........9.5.28.6.,0
14,.6.5.......4.6........9.2....3..768.....2....9....41........9.43...86.1.4..3....7,0
15,.4.7...5.......2..27..1...938.....2.........6.95...37......2.1.9..4..6..6....7...,0
16,.6..1.29....8.31.5.....9..4..87...427...3..86.......5...4..5.7..369.........4....,0
17,.5..3.2.8...54....7....8.5.1.69.....4.....3.72.7..16.....4...2...2.....3.....7...,0
18,.6......9.18.32.....49.....7....1....2..9.........8.4.3..5..9.......4.........271,2
19,.2.3.5.8....6.....37..1...4..7.8...3...........6.23.7.2..86.....4....9....9..73.2,1.4
20,.............9.2..6.7....1...4.57..15.34..7.....8......15.....3...7...949...25.8.,0
21,..6.9..159...4...6..3..87.......2..3.....9.4..5.4.....4.18..........5.9.2.....3..,1.4
22,..9..3....8.....2..1.4....58....26.74......59..13.......2.54............56..19.8.,2.7
