id,puzzle,difficulty
1,7.......5.6....1...3..8.7.....71.45....5.6..9.2..9....31..........2..8.4.....457.,1.9
2,..2..6...7......1..36..145.....7......789...2.2....3..57..6............4...35..79,1.2
3,...39......854..3.2.5....8.....79...59....8.7...4...1.1....4...679........218....,0
4,.812..6.......3.....395.71.9.7.....483.5.4.9.........7.48.........3.92......8....,0
5,4.1...9....5.4..3..8..2..5..5...68...9...1......8.....6....7.4.3......16...4...93,0
6,..............463......8.198....614...6..2....7.9..2...217......8.5....1..7....2.,3.3
7,6..3..7.......19..5.3..........5..9....1674....7.82.............3....5498.96...2.,1.6
8,.93.....7...2.74..4..5.3...36..28...8....92..........1.1.4..79.2......5493.......,0
9,9..42......3.6.....1...75........25...1..6..44.7.8...3.8....34......3.16........9,4.8
10,....356.8.......1...71....31.....8.......3......948.3...3.8..248..2......41...9..,1.2
11,...5.4..6..3.12..7..1......19..56.2..........2.....4.594.125..8..6.8.7...1.......,0
12,8..74..36.21.3........1..9.6..5.8.....8..3.5.9..1....4.9............68.71........,0
13,......2...4...8.....83...1.....7......9.....28.319...652...348....4.........8.7.3,3.5
14,....42....2.5..1...5..3.8..17....4..6.9.....7....56...7.....5..4.2.6..1.....8...6,2
15,.7..298...........6.5..743.2....1......43.....3..9.5..7........41....75.....6.2.9,0
16,...2....3..8.9..67.1...6...4...68.3...6....489..5........13.6....9.7...5..7...3.2,1.7
17,...6..7...6....5.....79..8....1.5...4....36..7.....2....5..6.2....4.23.9..1......,0
18,.1..7...66.48..........1.......5......1.9..7.53...249.......53..5.21.9.74....9...,2.6
19,2..6....81...4....49...7.5.7.4...2.3......54.....3...7..54.6.1.....23...9.6......,0
20,.......8495......6...231.......7.5......2341..25....6.29..6..3....1.....8....9...,0
21,.25...1.7............1.6..843.9..8.....673..4.7......96.2..4.....98.......7..2.4.,0
22,7....59......1.6.5....4..2.3..7..4.......9.8.2...6.7.1.8.....63.76.2.....2...1...,1.6
23,..2.9..6....3...173....1.4..765.3..2....2...5..31.......1..8...72.4........2....4,4.1
24,..6.51.43..8.4.........9....1...6..8...3..42.935...1....4...7.5...9.8...6........,0
25,9.3.....4..7...165...1..23.......9.....68..4.8...5.7.12.9.......3.91.6.....82....,0
26,5.......23.....7.92.6.........8..597...7....491...4.....5..7.......46........986.,0
27,...28..4..1.....6...7....35.....2....9..1......8..5...16.9...74.8......352..4....,3.3
28,81...7...3.2...17......89..9.78....1..5.2........13.6...8..2.......8...6791.....2,1.2
29,...8..67.6.....31..2..5...9..23.9...3...2....9........2.6..3.98.5..4...7..1..7.5.,1.8
30,5...8..2...7.......4...38.....9.........712..1...3..5.9....8.4...2....75.5.6.4..8,2
31,..2.3..7..8.54..3.1..........8.......7...1..3.4.7....5.16...8.4....7....3....9.6.,1.9
32,.9....4...64.7..3..1..8...6..3.......5..3...1..8.4..79..92..6.4...3...1..4.9.....,0
33,.......7.....2....78..4..2682....1..3.6.95..4.9......76.57.8...23..........46....,0
34,.1...4..365...9...7..8....93....8..7....4.69.1...2......7.....5..8...2......9..3.,2.2
35,.59...38....6...5..8.2...6.59.3.76....3...1...7...5........283.....9.....3.8...47,0
36,.19..5.......3.51..5...7324.......8...3.46.....5...2.3......1.2....6....674.9....,0
37,....6.9.8.6.....4.3....1..............3.8..2.95...71.3..45..2..2...1....61..937..,0
38,1..3..86...47......68.4..2.4..91...335.8..2.......5.1.............1..75.8....7...,0
39,.1...2..63..6....9.56....3..6..1.894.....6.......7..2..........9....1..77.489....,1.6
40,..7........6..19.7.......6.4.9.......6.83...22..659.3.51.4......23.....1....2.3.5,0
41,..2.4...15...28..9.7...5.......8.9.7159..3......6....2.1....2.6.65.3..........4..,0
42,.4.53.........9.......8251.4...168..5.3...7.2..6....9..8.....24..........2...41.9,2.2
43,..8.7....3..825.....9.3....9....256.6......4..7......3..6...3.9....8...55....9.16,1.9
44,.8.....54.2..1.8.6...7..1..348..6..5..........5...8.......5...11.942.......3.....,0
45,...7.9....1.28.5.6..6.......2.6....9....1.34..7......298.17.....31....9.......4..,1.3
46,35.......6......3..7.8......45.7.2..8.2.1.4...9....1..9.31.........42.8.....8.7.1,0
47,6....581......34...9.82...7.1...8......46.1..3......5487.9.....4..2............7.,0
48,...4...3.4..61..9....7....172...1.69..........3....8......2...5.86....1..74....2.,3.7
49,5..6..27..74.........57.3...18..........286...53.............4.....5...1.2.83..5.,0
50,...5..4.8..96....2.37.2...57..1.63....4...8...8.23.6..4....59.........1...3......,0
