id,puzzle,difficulty
1,...68...3.4...95..9.2.........7.3.257.......16...4.....83..........67...5....1.3.,1.3
2,43.......2.8.31..6...69..3.57.............4.8..2......3...6.9..9....25.....9..6.2,1.4
3,.1.......8.2....4...3.6..92.....7..34.7..9..8...62..5.....7..1..59...8..1..25....,1.9
4,....93....7......9..62.5.....23..1.6.3.....57...1.48..3.8...52..29.......5..4....,1.8
5,.4..........3........761..9..9.845...78....9...6.3.....6..2...3.9...6..1...4...52,1.5
6,....71...7.2....4..8.9...1..6....5......83..1.4.25...73.1...25...97..........9...,0
7,7..3.5.6..5...419...1.....8..583....3.......6..8...5.24...........29.....1..5....,0
8,...86....6.5..........7.8.2.9..2...61.63...5.........7......9..9.35...2...4..1..5,3
9,.....1.....8.3.6....3.4...1....8..3...5....17..7.2...84.1.53.....2...56.7..8.....,2.2
10,39.....7......9.....73.6....31..5..27....28.3..2...54..2..4....8....3.5...5..79..,0
11,.7.4............6.6.3..74....76.138.9...3......5...6.9..1.2.8..2..8.3.....9.16.3.,3
12,58.4...1.2..9....8....5..2.4..59..3...8.64......3.....32..419.6.65...1...........,0
13,36..4.....2.1..973...5.....58.9.......2....967...12........35....7....4......4.8.,0
14,............3.8.1..45671...2....3....3......7.6.5......1...6.39.74....58.....9.7.,2.8
15,8.2.1.7........3..971........5....78.6..7.....2.5.81.....7....3..91.5........32..,2
16,347..5...5.8.13.....1.4..258.4...7.9.3.......1...8...44.6.....8......4.6...9.....,2.8
17,..6.....38..9..5.1.5....6....43.28....7.8635..6.........25.9....4...7.2....8.....,0
18,....9...2..78.4..9.3...58..3.6.2....17..564.........2..2.........89...61..5......,0
19,.821...57.5......2.....9.....19....87......3.....634....4.9...152...1......2.6..4,2
20,.2...1..4.......5.74...8.9...8..93..43..1....1.75........63.8..5....7.1...2.....6,1.7
21,...3...5......2...8...47..16.8...7....4.3.9....5..6..37...2...49....13.....7.36..,0
22,.....8..7..91...4.8.....56.5..8.64...3....8....14.2....72.1.......7..3...6.....5.,0
23,..9....72.7......3.1.63....8..5...4.5...8...129....7......6.......3...64..39..5..,2
24,..6.7.9............5....316.6..9.85...8..2..9..1.........9..6.2.3....4..4..2.5..7,1.1
25,3.5.94.....7..16........98..1.........4..5.7.....3......1.7.2...9.6..3...5....4..,0
26,.3.......41..83......1..4...9.2...1.6..798.5......5..88......2....9......4..2.1..,0
27,......6...9..3.5.881.97.....4.3.....1...5...3.76..2..9..4.........82..7..8.5...3.,0
28,3.61......29..3..7.....64..6...3.......7..82..3..2........8.....83....6.54...7...,0
29,.3.96...5.7.1..2..96..8......12........8.9....56.7......7......5.....7.4....4.3.8,4.4
30,...3...8..5..2..31.6....5..3.92..7....8.....2...1.4.6.......34...1.6...7.8.4.7...,0
31,......6...62.4....7..2.1...3.8..7......8....9..93..42.........4...6...3.5.1.7.9..,1
32,87.6..3........7..3...71..92.6....95.9.1.5..2.....9.........83...9..4.......2...7,2.2
33,..71.4...6.......8...2..7....3.58....78.1.9..5...9..1...18....3.86......9....5...,3
34,.7...5...48..2.7...21.6.......4..581...6...2.......3...4..87..5.1............92.7,4.3
35,...8..3.11..95....4.5..2.....7.......4.2.1..98..54..........6.5.6...3..8..1...9.7,1.4
36,.4.6..2.91.......4.872..3...........7..3.81.....7.2.6.87......5....25....64......,2.3
37,..3.....619....52..6.5...419..4.8....2.....3......7..5..86.....2......58...2..7..,1.9
38,.69.7.......8....612...64.33.4...79.9...21...........5..65........7.........1.8..,0
39,..1..53..27...1...4...9....9.37.8.4........3..8....1.....8..4....7.....5.4.2..8..,4.5
40,.7..4...85......148.....956164..........7.5......12...38...7......3.......9.51.8.,0
41,...3.....2.9.4..57...7..6.1......2.......9...42...15...6.9....2.8..751.3.......8.,1.9
42,..3...6..8.6..3.127912........4..296.....93......5...72...8......93..4...7...5...,3.3
43,.2...3.9.9...5...65...76....5....8....3..5.7..7...4.1.........2.....7.6.....8.143,0
44,8...6.1..1.....6.7..7.3....6..39...4.....5.2.......7.6..4.1.....9...........5823.,1.2
45,.758..4......92....84.7..6.....15.26.2....1..5....8.......2......7..421....7..8..,0
46,.4.6..27..5..4.........7...9.3.....5.....3.1...215..6...59....6.2..8.7531........,2
47,7.46.....23.........53.24........5.34.2....9...9...614.9.5...6....286...........7,0
48,...8...4....9..3...5....62..9.......5.7..3.8....4.2.96.8.7..2..9..3..1..71...9...,1
49,.3.2..4.5...7..........5.6...2.783.631..4..2..9.3.............44.....18..76......,2.4
50,..9.64.81...9.....4.8...2.7..6.48....15..2......5.....7.1...6.3...4.3.........91.,1.8
51,...1.....5.2...9.4.7....6.5....15....574...8.9....37...23....7......21......4...6,1.6
52,..7...5.3.3.4........9.52..3.25..46..46.....1..5.6....96.............8.5....816..,0
53,.......57.....7...3......9.27..3.6.......58.....94...3.2..915..73.58..2..4.......,0
54,31..2...4......5..5.96...7.1.8.523.....4..8....3.1..4.....6.1.5..5....8.......9..,1.2
