id,puzzle,difficulty
1,....63.514..27.............9..8....3.72....1....19.......94..6..2..5.....96.....8,0
2,6.......47.86.....1...2.......1.6..9....8.7..312....4....9....7..6.5...8..72...15,0
3,....5.2..42......7.......49.7152........9.....5.1.63...4.2.5.318367...........4..,3
4,.4..61....5..4.....672.8.3...4..68.99...8..6..1...3.5........4...15..68.........7,0
5,........7..18.2..6...97.3..31...6..44.2...6.57..2.8....63......1.4....9.......4..,2.4
6,...8.23..8.....6...45....9.9....4.6...278............9.........5.691..4..9.5.7..1,2.3
7,..5.21.8.9.........7.489..2.2..6....5...137.......7.......7...1491...3........45.,2.9
8,..8....2.1.2.......5..61.....67123.5.8..5.2.......3...9.1....6....5.7.4.......9..,0
9,..8..23.......9....5.1.....2.......8..47...9..7.....56...268........1.7.62.97..3.,2.3
10,6....1......395..4........7.61.5....7....64...3..42..5.....3..9...4...8...5...7.3,1.8
11,.2..........52...6.8.9.3.5...6.3....54...621...3.........74...8......9.5....1..7.,2.6
12,...59..4..827...9.6.......285.......7...6....93.4.....2....7..5...3..714...1..2..,1
13,....8..3...6..2..9.4.79..8........6...9.4..5..68.7.32..72.....11..82..7...4......,2.8
14,..5.1....7.3...5...1.3....6.....8.1....5.9342..9.3.6.....8...6.9.7.4.....8..2.1.3,3.3
15,...89....3..6.....7.41....5.42.1..5...9..624.........1..7...4....6.53.......8...2,1
16,..68...375.....4...1..3.2...7..8...6..19....2.653......4.5..71.3....9.....2......,2.6
17,.4.82.3.......9.5.....6..4...62......57.............98.72..5.84......7..5..94..63,2.5
18,3..1....2..5..7....8...4..52....8.....3.4.1..5......4.8.1.6..5.......3...962...7.,0
19,...72....3.....59............58.4.36..729...1..2....4...64.......96.7..4.7...8.6.,0
20,..5..9.........2...2.53.81.....98...2.......1.3...562.......5.461.....3....64..8.,2.5
21,.......8...4.23...7....65..9.7.....1.2.......1.8...79......8..94..1...6..657....3,3.5
22,3.6...7...1..8...48.....5.....65.....7..9..8..81.2.39.....3.....4...6....9....15.,1.6
23,....7..3...1..29..2..5..6..1...5....7....4....2..8...45....7..8.94....73.....81.6,0
24,..67...58..9......4.762....3....761...5.6.3...94.....2........45..3.6........27..,1.3
25,...94..8....7..361..8....2..5...4....4.13......7.....2.....7.1.1.6..3..7.2....8.9,0
26,....8...63524.6.......2...9.97..5.2..8.......2.1.......2.3.8...7.........369..7.1,0
27,49...68...58...7.....8..463.......8...2.4.91.....8.6....562.....3.4.1.......39...,0
28,4....6........5...3.6.8.7.....9...2.....2...37.3...8...7..1.65.9..5..3....4.9....,1.7
29,.92.53......7......15...7.32......3..............9614..3..2.5...4.87.......1.5..7,0
30,.9..2.6.....39...8.36......21..53...9..2...5...7.1...9.....85..6.....7.3....79...,0
31,5....1.2.9..6...5..8..4.6..1...7.3..358...4...6.2..9....4......8...9.....1.7.2...,4.2
32,9....6..........5..6527.1.3...63.8..........2.8.....79...8...9..36.945.....76...1,0
33,9..5.3..63.1..6..7..54..3...1...9.68....4.9..5...8...16.2........38..12......4...,3
34,.....2.6....85.....51..4..7..7.3..4.9.....62...6.48...1.8.....54......71.....3...,0
35,9..4....573......9..8.5.....2...1..6.......9..14..7....7.....84.....3.6..5..4...1,4.4
36,..9.4..2.675.......4..3....5....29.8.3........8..74..5.......4...35....9..6.98...,0
37,.6....9...8...3.....786.24...2......34..256.11..............4.5...65.892....7....,2.7
38,.3.....188....12..7....293...4.9............7.7.3..42.3...2.5.........86..56..39.,1.6
39,.9.1.2.4.67.9..15...4..5.7....869.....9..3..4.......1....78.3.28.....5..........1,0
40,....7...4.5...67..6...4.8.3..2...41.........9....5..2.1..8.....865..9...9..4..2..,0
41,.......4..8.7..1..35.6...7...6.3.9......5...6..4.....26.2..8....4..7..5.7....4...,0
42,.3...46.7.......2...2.1.....71...3..........22.53....9..3..8.......4.8.5...72..14,2.7
43,.3.78..4...6....8.8.9.6....9....7.6...3...42..6....1...2...6..57..3.5.......21...,2.5
44,.2.....8...5.36.216.9.......6.4..8....43....6.9........8.1..4..5....8..3...9..7..,3.3
45,.....4..2..3.....54...1...69..2..3...74.6.2...851...............67..2.......35.6.,0
46,2.697......96.....5.......4....9..35....3..89..4...2.....5....136.1.......7....9.,2.7
47,.1.9.........71..59.....7..49...32.1.6.1...5.3.....8.............8.2.3...5..9....,1.2
48,..35......1......48..3..6.........2.49.71.8....74.8.....98....5.........5.2..73.8,2.8
49,9.......834..269.7.25..7....7.1...6...3..42.......2...1....5.8....4....3....3.4..,3.7
50,.......5......3...2..98..67..2...7..63..9..24.8...6......2.1..98...6....7....5..3,0
51,4.5....19.....3.7.92.4..........875.....1.2....7....6..1..3..4..8......6...86..9.,1.5
52,.7...1...5.......2.29.4..8.......2.1..4.9...6.....397.76.5.........8.6...3..1.54.,1.8
53,....4.......31274...5..93.8.5.89..24.9..6......4.......81......5.7....3......7..9,0
54,.1.3..4.85.2..6....4....7..9..5.......8..9...2...8..1.4...1...5......3......58941,2.8
55,....6.7....4......65...3..1.9..2..45.......8.82..5.6....12.8...2....7........64..,2
56,8.1.32.7.......8..9...7..463...8......79.3..1..........1.....2.7....6...5.....497,2.1
57,...6...1282....5....6.......4..3....9.1.....753.....8.7..3.....6..58.2.....4.7.3.,1.1
58,7....23.....7.3.59..6.5...746..859...18........5...4......68......3....4.2...4...,4.9
59,..46.8...........4..1..7.8.13....4.2.4..9..6.6..5......25.4.1.......9.3...7.....9,0
60,..8...7.......9....7....82....1..4....9.7.5.22.1.....6..6.5....4.....6.55..3.1..8,0
61,.....1...4.8..5...17..........3..8.65....4.3....6...17..64......3.....9..4..9.2.1,2.7
62,........2..9846.7...527.6........5..........6467....3..843.5....9.......2....93.1,0
63,8...96.2.3.1..........21.5..7....1...5...9..32.9.7........658..........5...48..9.,0
64,..3....7.....1.6.8.7..6......7........4..85.73....2..1...32..9.9.......54...9.16.,1.4
65,...1...2...4..73.88.2...4.1.....1.7..6.........1.63.8.6.7....4.....95..7.43......,2
66,29.............16...1..789.....7......8..5621....83..43.....2.6...421.7...4......,0
67,...5..3..9.52.....8....6..5.4......32....7.5..76..2.......981..4..7.........6.7.2,1.9
68,1...4......91.7..46..3...8.....5.2..........37.59.3....574....62..51.4....4....9.,2.2
