id,puzzle,difficulty
1,...7.1.....65..8..8173....5..3.......82..5..7....1...36...2.3.......892...1......,1.2
2,.4...61.8..31...4.8..7..6....89.....532.....6.6.....72......49.9....7..5....1....,2
3,..4.2.........3..5.7..18...1...3..5..9..4.6..4..8...7151....2....6..7.....83.....,2
4,8..1....5.4....1..6.......8....6.5.1..3..4.7.1.2...8...8..4...6.....57..7....9...,2.3
5,...5.....24......1......75......6..77..3...9...918.......42.1.......98..9.7.65..4,0
6,.......15.....7..46....3......2..948.6.5.......3..92...42.6...11.....7.2.3.......,0
7,.94....878....74..........3.6.27.1...1.....4...2.......7.6...3.52.4.8.7.1......9.,0
8,....142....5..7.8..2.8.6..498..........2......6..4...3.56......79...36.....9...1.,2.5
9,.8.7.3.9...5.6.4........17.........8.3...562.1.....3...1952.....53..47.1.........,0
10,.......8.9...75...36...1........8.1..4.2..7..7....96........32.1.......658.9.3...,1.9
11,..........7..38.5...5...3.4.4.7...2.....54.8.23....5.........1.69.5..8..7....9..6,0
12,..13....24..7....1..6..983.14....5.87..6....96.5.9.4.....9.5.8..............36...,0
13,.....94.2..78....9.....7..1....1......56...8..3..2.61.31...4...5.2.......96.5....,1.9
14,8.......56...4..2..43.1...8.2.5.9..4.7...4.....6.7..5...1.3......46........9.8.6.,2.3
15,.32..1.9...45......589...6....46.98.........6.....7.25.......3...385....91...3..7,0
16,.2.1.....3.8..9..2....7.963....3.6.1....2..8....7.14....5287...1.........7.....3.,2.5
17,3......9...2614...8......54.......8.6.41..9...3...6..2..79.........2.81......57..,4
18,........77..1..4..4.35.......9..3....2...79.11.42..7..29.......8....2.......4.56.,0
19,8.1....9.7.....86.9.2.46.....56982..........723....1.6...23.4.......9...........8,0
20,....5..1495..3........4....6..2.1...1..9...76........35.9....4..8...6..1.1.4..2..,0
21,......416..2.....3.4.3....88...9...7..9..6...5..8...3..2..7.64..5..43.8......9...,2.9
22,7...38......5.687...2...5....1.8...2...9......592..7.3.73.1.2.......91...96......,3.5
23,9.7..5.6....4....2.1.36..5.542.....17...2.........7.......4.8..4...13......7.8.2.,0
24,6...1.9....9..4..87.....54..8.1.6.......5.4..3..89....87..6.......9.8.6...1....5.,0
25,..2.....5....6.7.....9.8.3...6..13....4..9.2.9....5.....7....8..65...41.8..41...3,2.7
26,8..6....2.1...5..4....1.....3...8.1....2.1.9..5...97..96.47.....2....6....75.....,2.2
27,..378.5...........8..3.2..47.2..54.6.5.2...1894..1...31..5.6....9..7....23.......,1.1
28,.8..79....6....45.2....6.7...47.81.9..6.....5..9.3......1....643.....7.....9..51.,0
29,..3....7.......5.8.4..586....16...9..6.2.....2.5...4....482.9..7.....8.3.3...4.5.,2.2
30,9.31.2...7......9..4.........53.18....46...7.....2...4....8651...7..5.8..9.......,0
31,.2.....73..38....4.....3.6...5..6.1..91....37.6.4....5.........87.5.2....426.1...,0
32,.....45..6..1....3..95..82.8.2....4....7.2.....7..3.1.9..3....2.6..9..3.5.......6,0
33,..1....8.9......3532.....7.....8...2..5..69.3..6..21...4.2.....1.23.8........9...,0
34,.......82.426..3.............8.3...7....89..4..34.6.218....1..9....5.....1.3.726.,0
35,41..69.5....8.....3.............4..8....7..215.13..9..2..7....6..3.4....9...86...,1.6
36,.5.......28......6...6...87368........9....41...5..7....5..98....3..6.241...2....,0
37,....286..18.5...4....71........4...7....9..3.7..1.35..4........3.7...85.6.8...1..,1.6
38,7...8..4.8....517...31......84.26....5.....84...5.......7...4......32.9........53,1.4
39,......1.....185..7.6.....9....4.......3.1..8...7.....4..9.3...2.8.9...4.1..2...35,1.2
40,2..1.96..3..4...52.1.7.....7.19....8...5.....6...8..949..67......8.....6.....2..5,0
41,3...8..29.4.9..6...16.4..3.1..3.............46.5...3......5.9....2.....5....94..1,0
