id,puzzle,difficulty
1,97....4.8.....8.6.2.........2...7...3.54..9...6...5.23....3.856...5....9..218....,0
2,..8..6......2....91......6....6..89..34....7.....2.53...34..7.8..7.6....4..3.5..1,2.1
3,.....8......5.12.........79....8....7.1..9.36.3.........4..236..2.36418..5.......,0
4,.3.5.......1..65...8...3..........19...3.82.6.9..1..5....4......4518..2..7....3..,0
5,....7438..28...1..5....97....53..8....2......9...6..3.4...37..9..........19..6...,1.7
6,2.7.6.1.......269...5..........47.313.69...2.4........6..2..973.9.5.............8,0
7,.5...9..8.....1.....654......2...7.36.1......54..8..29.......8.....5.13.93...256.,0
8,..34...1.8.2.6.....7.95....4...287.................45...7.94.6.6.9.......2.5....1,1.2
9,.9.......4..56...22..1.8.6.........6..8.715.....3.29...59...6.4.2.84.........3...,2.3
10,4.....6.9....4..3..1.96...8..75..4..9..61.......8.....8.......5.64..7...1....58..,0
11,..1..23.8...7..52...61.......763.....8.9.....3..5....7....7.43.9.....2..2.4.....6,3
12,.9...85....6..5...8.5749...4..9...7.......65.3...5...4..7..3...5.....14...91.....,1
13,..1.26........9.64..74....8.1.....434..........3..598...8.....2192.8.5.......7...,0
14,...1.74..9......5...865.1....2..3....4.....6..71.2....3....27....7....89...8.....,1.3
15,8...5...772..845...........3....9.71....6.4..9..1.7.6............29...4..318....5,0
16,..3....6.7.....1.9....37..415..2...8.7...95..9...842.....1......45.78...2...4....,0
17,......7.87..1.4.5.2..6......5....31..1..3..6......1..762..5..4...3......1..9....5,3
18,....3..8..3.4..2..1.2.8.7...2..4...7.....18.5.45.6..1...........1...8..67......58,0
19,...9.86...7...184..5........3...49...21..5.7....2....8...5...62..2.3.....478..39.,1.9
20,.6.........7.2.8..2....4..969.2......81..5.764.......11..5...28....4..5...86.....,0
21,.3.......9....75.14...9..3.7.........2..4...38..3...97......26..91.527....7......,0
22,....93.84.......3.16....7..65....4.7....84........7....7..3.65..........394......,1.8
23,.....2...2....8.933.1..4....472...59...8....1..6.3.....3..........19.....7....62.,0
24,1.........4.9...577..3...9...143...5.9..578.......1.....7..4...8.2..........9.16.,1.4
25,..8..4.71...9.....3.4....2......1..8..54.29.36...7...........1.2.1..9....6.3.....,0
26,...4..37..5..3.....7...9...64.9..8..3..6.........54..1..6.2.5.9.....7...8...4..2.,2.4
27,.7.3..1......64..9.1.2..6....5...3..4...79..5.2...........45...7....34.8...9....1,2.1
28,6.......4.3...6.7...4....5..4.17.2....7.8..1..26.3......9....4..1.....9...57....3,2
29,6.......7143.......9.41....5......1...9.....4.2.971.6.3.47.2....8....3.2...8.....,0
30,.6....2....8....615.1...47...9.27..6.8..1.....2..........1..54.......1.8.9354....,0
31,1...8.9.2.......3..245.3......3..7.8..57.6....3...........64...69.2......18......,0
32,......3721.....5..28.7......7..1..59......2..9......4....2...3.56..8.....1.3.76..,2.2
33,...8.5...4.2......3..49..7..3..6...7..5..3...........827....9.....782.1..64......,1.7
34,..965.42.....9...5....78...19..8.2..4..7.....2.....61.617............78..4......3,2
35,4....35...5.6.....1.8...6....5.31476......3....38.2.......6.98.7.1.......8.2...4.,1
36,.5.2...6..9.3.......7.8.1.23.9...85.2..7.8..6.......1...3..6....18......5..14....,0
37,.3.6....27....1......9.......432..5696..4........8....35....8.7.26.....1.......9.,2.8
38,..........73...4.6..1..58...8..24.632...........5.3...5...6.9...1..52.....98....1,0
39,.6..45.....2..3...7.5....3....1..3.4...5...2.6..8.......4.1.5.7....9..8...8..74..,2.3
40,1.6.7.2..54.....6..3...2.........4.....83..79...2.9....2.5.1..4...7....34..3....1,4.3
41,..........2...6....59..7461.4...1.5..6.3..8....1......5.7.9..2.....1...5.....4189,2.5
42,27.1....3..46..9...8...56.495.......7....3..8....9.27..9.7...............4...2.56,0
43,.8......3.43....6....1.75...9..8....6.5..29..2..9...7..............24...127..8...,0
44,........927...1..5..8.5.4...8..9..7..9.2....3....6...8...64............14.59.....,3.1
45,8...19......4.28..5.........7....4.9.5.6..13...97..5.......1...316..8.........2.6,1.6
46,....85.4....7..5..8.4..26....9.7..8.......4.....419.567.6...3..2....4.9.4..2.....,2.1
47,42.1.......68..25...7.....6..5.2.7391.3..............5..12.5........35...7.....9.,0
48,7...9.12.........61.95...4......9.......1...9...47.58...18..6.2..4.579......2.4..,0
49,3.......2..8...9....5.7...8...6.25.4..9.8.......3.5........6..56.....1....1.5976.,3.5
50,4.......8.8.....4...7...19..62.1....8...597...5.8.....2......67..61.......5.28...,2.8
51,..2....14........94..1...5..3682.7...8.7....62.5..93..........2..76......91.3....,0
52,7.924....41....6..5....9....5....2.1.....6......1..8.32....5.97...87.1.......3..2,1.8
53,.1.....3...9..126....9.81...8....9...3.71.8.46.7.......9....7......8.3...743.....,0
54,5....2.7........6....8....5..9..56...6....1.94....3.5.....29.1.6.8...5941...4....,3.2
55,.....3........273....46..1594.8..1..7.2...3.....9....6.25....67.......21..4..9...,0
56,..43.9..2..1..64...5..7..1........6.......1.8.197.3......4..32.2...9...7......9..,2.3
57,......3....4..2...6....1..8..51....37.2..4....9..7....95..........3...5.....48.7.,0
58,...1.....3....675..9...76....4.....1263...4....158.......4.8...........98...92...,0
59,..19..42..9....3....3.1...7....45.7..5.6.3....6.12.....8..6..9...6...7....2..4.81,1.7
60,...3.8..9.13..7..5....6.......6.281.185..92...6........98....6.6.4.......2.4..75.,2.7
61,.9....3.......64.........713...6..84..59..7...2..4....57.......2...8.64.1....78.3,0
62,...1.9.2........7.9.52...4.21..4............6.58...7....1.86..95...3.....3....8..,3.2
63,...............2.537...8.415..1.24.....5...9.9.6.4...218.6...3......4.....4.5...7,2.1
64,.4.7............8..87...63.7.....5.4...6.5..1..3....6..........81.45....3762.8...,0
65,.1...........7.9.378.2.6...3......5.8..31..6..2.7..1...7...9..5.........64..3...2,0
66,....2.4.194...758.5....967.....4.3.......1.....9.8..6.....9.....7..34......2...14,0
67,796......5....1.....4.....9....9.....1..48.3.9...2.4......5.8.4...8.7..6.3....2..,1.2
68,.......9..3....2.4.27.56.....42..96...1.69...........1..3.1..478....3.......4..5.,1.6
69,..1.2.6...7..5.4...95..7.......698..3....8..71..7.....4............8534........51,0
70,..92....5..6..1..815..4.9.2...6.5.21..7.........8...63.7...3.5....4......63......,3
71,9......6..7......12..73..4......81....79........4.5376..9..6.3..4.5......6.1.....,1.2
72,....1.4..6....7..2.....95....9.5.1....2..8.7.5..2....386......115.8.2.....7....8.,2.1
73,.7.9...8......5..36...7.1.4..2.148.5.357.......7......8.6...4..........6.1....25.,1.6
74,...1.8.9...6......3.....6....76...43.4..59.....2.7...8...8.....19..37...2.......4,0
75,............6.78.9..45.23...2...3..48...5....5..4....2.82..5.......6.9..3.69....7,0
76,.8...4....1.3..9....7.5.2...56.7..........3.9.....8...2....3.......917.36.......1,1.4
77,.18.5.6..3...84...6.4....3....1..2..56...7..3....9.....4......5.2....9.....94.87.,4.3
78,6..59.2..3......1....2.....9....7.34.3.....9..7..6.1....1.2...8..8..6.5....9..6..,0
79,..35.4............24.1...9657....4..3..............639.2......3...46..7...18.5.2.,1.4
80,6...831..21.....39......27..3...46.2..9..1.......2.....84......57..9.......3....4,1.1
